iter,key,part_number,bytes,download_ms,vip,conn_id
0,bench/30gib-0.bin,409,33554432,373.66,16.15.42.134:443,
0,bench/30gib-0.bin,253,33554432,392.66,16.15.42.134:443,
0,bench/30gib-0.bin,237,33554432,400.06,16.12.102.18:443,
0,bench/30gib-0.bin,385,33554432,413.30,3.5.84.199:443,
0,bench/30gib-0.bin,321,33554432,423.87,3.5.83.243:443,
0,bench/30gib-0.bin,353,33554432,425.52,3.5.84.199:443,
0,bench/30gib-0.bin,314,33554432,434.88,16.15.42.134:443,
0,bench/30gib-0.bin,30,33554432,436.95,3.5.84.199:443,
0,bench/30gib-0.bin,422,33554432,441.20,3.5.83.243:443,
0,bench/30gib-0.bin,392,33554432,447.01,3.5.84.199:443,
0,bench/30gib-0.bin,10,33554432,452.96,3.5.84.199:443,
0,bench/30gib-0.bin,373,33554432,455.16,16.15.42.134:443,
0,bench/30gib-0.bin,256,33554432,464.05,3.5.84.199:443,
0,bench/30gib-0.bin,140,33554432,466.02,3.5.84.199:443,
0,bench/30gib-0.bin,368,33554432,470.26,16.15.42.134:443,
0,bench/30gib-0.bin,403,33554432,472.03,16.15.42.134:443,
0,bench/30gib-0.bin,366,33554432,474.76,16.15.42.134:443,
0,bench/30gib-0.bin,445,33554432,476.95,16.15.34.170:443,
0,bench/30gib-0.bin,433,33554432,479.06,3.5.83.243:443,
0,bench/30gib-0.bin,66,33554432,481.36,16.15.34.170:443,
0,bench/30gib-0.bin,502,33554432,482.33,16.15.34.170:443,
0,bench/30gib-0.bin,145,33554432,482.73,16.15.42.134:443,
0,bench/30gib-0.bin,93,33554432,484.34,16.15.42.134:443,
0,bench/30gib-0.bin,487,33554432,485.24,3.5.83.243:443,
0,bench/30gib-0.bin,343,33554432,487.14,16.15.34.170:443,
0,bench/30gib-0.bin,111,33554432,493.71,16.15.34.170:443,
0,bench/30gib-0.bin,16,33554432,496.28,3.5.84.199:443,
0,bench/30gib-0.bin,182,33554432,498.70,16.15.42.134:443,
0,bench/30gib-0.bin,428,33554432,498.35,3.5.84.199:443,
0,bench/30gib-0.bin,96,33554432,501.73,3.5.83.243:443,
0,bench/30gib-0.bin,305,33554432,507.58,16.15.34.170:443,
0,bench/30gib-0.bin,290,33554432,507.78,16.15.34.170:443,
