iter,key,part_number,bytes,download_ms,vip,conn_id
0,bench/30gib-0.bin,382,33554432,338.82,3.5.81.227:443,
0,bench/30gib-0.bin,124,33554432,340.44,3.5.81.199:443,
0,bench/30gib-0.bin,9,33554432,344.03,3.5.78.214:443,
0,bench/30gib-0.bin,467,33554432,354.35,3.5.81.199:443,
0,bench/30gib-0.bin,225,33554432,365.86,3.5.78.214:443,
0,bench/30gib-0.bin,403,33554432,373.39,3.5.78.214:443,
0,bench/30gib-0.bin,96,33554432,378.09,3.5.81.199:443,
0,bench/30gib-0.bin,224,33554432,379.84,3.5.78.214:443,
0,bench/30gib-0.bin,361,33554432,386.60,3.5.81.199:443,
0,bench/30gib-0.bin,465,33554432,385.42,3.5.81.199:443,
0,bench/30gib-0.bin,144,33554432,385.41,3.5.78.214:443,
0,bench/30gib-0.bin,471,33554432,393.36,3.5.78.214:443,
0,bench/30gib-0.bin,80,33554432,395.02,3.5.81.227:443,
0,bench/30gib-0.bin,104,33554432,396.02,3.5.78.214:443,
0,bench/30gib-0.bin,355,33554432,399.08,3.5.81.227:443,
0,bench/30gib-0.bin,8,33554432,408.31,3.5.81.199:443,
0,bench/30gib-0.bin,186,33554432,412.14,3.5.78.214:443,
0,bench/30gib-0.bin,120,33554432,413.30,3.5.81.199:443,
0,bench/30gib-0.bin,178,33554432,419.68,3.5.78.214:443,
0,bench/30gib-0.bin,137,33554432,424.22,3.5.78.214:443,
0,bench/30gib-0.bin,222,33554432,426.19,3.5.78.214:443,
0,bench/30gib-0.bin,27,33554432,434.72,3.5.78.214:443,
0,bench/30gib-0.bin,241,33554432,434.62,3.5.81.199:443,
0,bench/30gib-0.bin,393,33554432,434.03,3.5.81.227:443,
0,bench/30gib-0.bin,226,33554432,437.29,3.5.81.227:443,
0,bench/30gib-0.bin,247,33554432,437.39,3.5.81.227:443,
0,bench/30gib-0.bin,161,33554432,437.51,3.5.81.199:443,
0,bench/30gib-0.bin,245,33554432,442.13,3.5.78.214:443,
0,bench/30gib-0.bin,170,33554432,443.08,3.5.78.214:443,
0,bench/30gib-0.bin,364,33554432,449.28,3.5.78.214:443,
0,bench/30gib-0.bin,313,33554432,449.99,3.5.78.214:443,
0,bench/30gib-0.bin,52,33554432,451.38,3.5.81.199:443,
0,bench/30gib-0.bin,273,33554432,452.60,3.5.81.227:443,
0,bench/30gib-0.bin,234,33554432,456.28,3.5.78.214:443,
0,bench/30gib-0.bin,457,33554432,457.06,3.5.78.214:443,
0,bench/30gib-0.bin,39,33554432,461.72,3.5.81.199:443,
0,bench/30gib-0.bin,239,33554432,466.74,3.5.78.214:443,
0,bench/30gib-0.bin,392,33554432,465.52,3.5.78.214:443,
0,bench/30gib-0.bin,246,33554432,470.08,3.5.81.199:443,
0,bench/30gib-0.bin,183,33554432,470.42,3.5.81.199:443,
0,bench/30gib-0.bin,427,33554432,469.70,3.5.81.227:443,
0,bench/30gib-0.bin,349,33554432,471.83,3.5.78.214:443,
0,bench/30gib-0.bin,309,33554432,473.80,3.5.81.199:443,
0,bench/30gib-0.bin,187,33554432,480.15,3.5.78.214:443,
0,bench/30gib-0.bin,492,33554432,481.49,3.5.81.199:443,
0,bench/30gib-0.bin,329,33554432,483.33,3.5.78.214:443,
0,bench/30gib-0.bin,34,33554432,484.95,3.5.81.227:443,
0,bench/30gib-0.bin,121,33554432,486.43,3.5.81.227:443,
0,bench/30gib-0.bin,473,33554432,489.87,3.5.81.199:443,
0,bench/30gib-0.bin,3,33554432,492.59,3.5.81.199:443,
0,bench/30gib-0.bin,126,33554432,491.99,3.5.78.214:443,
0,bench/30gib-0.bin,223,33554432,492.51,3.5.78.214:443,
0,bench/30gib-0.bin,155,33554432,492.53,3.5.81.199:443,
0,bench/30gib-0.bin,413,33554432,493.03,3.5.81.199:443,
0,bench/30gib-0.bin,455,33554432,492.27,3.5.81.199:443,
0,bench/30gib-0.bin,414,33554432,493.05,3.5.78.214:443,
0,bench/30gib-0.bin,321,33554432,494.94,3.5.81.227:443,
0,bench/30gib-0.bin,14,33554432,497.27,3.5.81.227:443,
0,bench/30gib-0.bin,453,33554432,496.90,3.5.81.199:443,
0,bench/30gib-0.bin,180,33554432,498.82,3.5.81.199:443,
0,bench/30gib-0.bin,182,33554432,498.73,3.5.81.227:443,
0,bench/30gib-0.bin,102,33554432,497.90,3.5.78.214:443,
0,bench/30gib-0.bin,113,33554432,499.45,3.5.81.199:443,
0,bench/30gib-0.bin,441,33554432,500.93,3.5.78.214:443,
0,bench/30gib-0.bin,165,33554432,504.44,3.5.78.214:443,
0,bench/30gib-0.bin,53,33554432,503.87,3.5.81.199:443,
0,bench/30gib-0.bin,440,33554432,502.71,3.5.78.214:443,
0,bench/30gib-0.bin,505,33554432,505.06,3.5.78.214:443,
0,bench/30gib-0.bin,474,33554432,505.59,3.5.81.227:443,
0,bench/30gib-0.bin,326,33554432,506.65,3.5.78.214:443,
0,bench/30gib-0.bin,130,33554432,507.54,3.5.78.214:443,
0,bench/30gib-0.bin,217,33554432,509.63,3.5.81.199:443,
0,bench/30gib-0.bin,295,33554432,512.12,3.5.78.214:443,
0,bench/30gib-0.bin,56,33554432,516.16,3.5.78.214:443,
0,bench/30gib-0.bin,29,33554432,523.45,3.5.81.199:443,
0,bench/30gib-0.bin,221,33554432,523.76,3.5.81.227:443,
0,bench/30gib-0.bin,511,33554432,522.39,3.5.78.214:443,
0,bench/30gib-0.bin,252,33554432,524.07,3.5.81.199:443,
0,bench/30gib-0.bin,143,33554432,524.05,3.5.78.214:443,
0,bench/30gib-0.bin,507,33554432,524.28,3.5.81.227:443,
0,bench/30gib-0.bin,248,33554432,526.24,3.5.81.199:443,
