iter,key,part_number,bytes,download_ms,vip,conn_id
0,bench/30gib-0.bin,120,33554432,537.43,3.5.84.6:443,
0,bench/30gib-0.bin,474,33554432,537.24,3.5.77.103:443,
0,bench/30gib-0.bin,354,33554432,537.96,16.15.33.174:443,
0,bench/30gib-0.bin,183,33554432,538.62,16.15.33.174:443,
0,bench/30gib-0.bin,303,33554432,539.60,3.5.77.103:443,
0,bench/30gib-0.bin,42,33554432,540.30,3.5.87.215:443,
0,bench/30gib-0.bin,386,33554432,540.05,3.5.87.215:443,
0,bench/30gib-0.bin,280,33554432,542.14,3.5.84.6:443,
0,bench/30gib-0.bin,444,33554432,543.21,52.92.200.50:443,
0,bench/30gib-0.bin,424,33554432,544.81,3.5.87.215:443,
0,bench/30gib-0.bin,137,33554432,546.40,16.15.33.174:443,
0,bench/30gib-0.bin,224,33554432,549.84,3.5.77.103:443,
0,bench/30gib-0.bin,37,33554432,551.43,16.15.33.174:443,
0,bench/30gib-0.bin,336,33554432,552.38,3.5.77.103:443,
0,bench/30gib-0.bin,147,33554432,554.09,16.15.33.174:443,
0,bench/30gib-0.bin,330,33554432,555.50,16.15.33.174:443,
0,bench/30gib-0.bin,177,33554432,556.91,3.5.87.215:443,
0,bench/30gib-0.bin,12,33554432,557.57,3.5.87.215:443,
0,bench/30gib-0.bin,193,33554432,559.39,52.92.243.34:443,
0,bench/30gib-0.bin,342,33554432,559.22,3.5.87.215:443,
0,bench/30gib-0.bin,459,33554432,558.58,3.5.84.6:443,
0,bench/30gib-0.bin,70,33554432,561.74,3.5.84.6:443,
0,bench/30gib-0.bin,298,33554432,564.14,3.5.84.6:443,
0,bench/30gib-0.bin,389,33554432,566.34,16.15.33.174:443,
0,bench/30gib-0.bin,483,33554432,568.15,3.5.87.215:443,
0,bench/30gib-0.bin,236,33554432,573.75,3.5.77.103:443,
0,bench/30gib-0.bin,231,33554432,573.77,16.15.33.174:443,
0,bench/30gib-0.bin,82,33554432,573.07,3.5.87.215:443,
0,bench/30gib-0.bin,16,33554432,577.32,52.92.234.242:443,
0,bench/30gib-0.bin,368,33554432,577.13,52.92.200.50:443,
0,bench/30gib-0.bin,180,33554432,577.70,52.92.234.242:443,
0,bench/30gib-0.bin,21,33554432,576.94,3.5.84.6:443,
0,bench/30gib-0.bin,232,33554432,577.99,16.15.33.174:443,
0,bench/30gib-0.bin,60,33554432,578.67,3.5.84.6:443,
0,bench/30gib-0.bin,24,33554432,579.94,3.5.77.103:443,
0,bench/30gib-0.bin,396,33554432,585.64,3.5.84.6:443,
0,bench/30gib-0.bin,397,33554432,587.27,3.5.87.215:443,
0,bench/30gib-0.bin,433,33554432,587.87,3.5.77.103:443,
0,bench/30gib-0.bin,484,33554432,590.00,3.5.77.103:443,
0,bench/30gib-0.bin,395,33554432,590.80,16.15.33.174:443,
0,bench/30gib-0.bin,145,33554432,592.18,3.5.84.6:443,
0,bench/30gib-0.bin,161,33554432,592.43,16.15.33.174:443,
0,bench/30gib-0.bin,149,33554432,592.81,3.5.87.215:443,
0,bench/30gib-0.bin,66,33554432,593.42,3.5.84.6:443,
0,bench/30gib-0.bin,360,33554432,596.59,16.15.33.174:443,
0,bench/30gib-0.bin,123,33554432,598.11,52.92.243.34:443,
0,bench/30gib-0.bin,309,33554432,597.80,3.5.84.6:443,
0,bench/30gib-0.bin,29,33554432,600.19,3.5.84.6:443,
0,bench/30gib-0.bin,362,33554432,600.66,3.5.87.215:443,
