iter,key,part_number,bytes,download_ms,vip,conn_id
0,bench/30gib-0.bin,259,33554432,366.72,52.92.201.74:443,
0,bench/30gib-0.bin,453,33554432,370.79,52.92.178.210:443,
0,bench/30gib-0.bin,35,33554432,447.40,16.15.43.165:443,
0,bench/30gib-0.bin,144,33554432,454.42,16.15.39.176:443,
0,bench/30gib-0.bin,279,33554432,456.54,52.92.178.210:443,
0,bench/30gib-0.bin,367,33554432,458.82,52.92.201.74:443,
0,bench/30gib-0.bin,266,33554432,470.33,52.92.201.74:443,
0,bench/30gib-0.bin,207,33554432,472.76,16.15.43.165:443,
0,bench/30gib-0.bin,125,33554432,477.00,16.15.43.165:443,
0,bench/30gib-0.bin,470,33554432,477.56,52.92.201.74:443,
0,bench/30gib-0.bin,303,33554432,478.17,16.15.43.165:443,
0,bench/30gib-0.bin,195,33554432,478.75,52.92.201.210:443,
0,bench/30gib-0.bin,229,33554432,479.30,52.92.178.210:443,
0,bench/30gib-0.bin,149,33554432,480.14,52.92.201.74:443,
0,bench/30gib-0.bin,314,33554432,480.32,52.92.201.210:443,
0,bench/30gib-0.bin,184,33554432,486.18,16.15.43.165:443,
0,bench/30gib-0.bin,173,33554432,488.33,52.92.178.210:443,
0,bench/30gib-0.bin,32,33554432,494.52,52.92.201.210:443,
0,bench/30gib-0.bin,202,33554432,493.30,16.12.89.138:443,
0,bench/30gib-0.bin,13,33554432,498.78,16.12.89.138:443,
0,bench/30gib-0.bin,200,33554432,496.84,52.92.201.210:443,
0,bench/30gib-0.bin,385,33554432,499.80,16.15.39.176:443,
0,bench/30gib-0.bin,197,33554432,500.57,16.12.89.138:443,
0,bench/30gib-0.bin,497,33554432,500.77,52.92.178.210:443,
0,bench/30gib-0.bin,243,33554432,500.97,52.92.201.74:443,
0,bench/30gib-0.bin,452,33554432,505.34,16.12.89.138:443,
0,bench/30gib-0.bin,300,33554432,504.77,16.15.39.176:443,
0,bench/30gib-0.bin,135,33554432,511.44,52.92.201.210:443,
0,bench/30gib-0.bin,221,33554432,515.25,52.92.201.74:443,
0,bench/30gib-0.bin,464,33554432,517.83,52.92.178.210:443,
0,bench/30gib-0.bin,371,33554432,520.91,16.15.39.176:443,
0,bench/30gib-0.bin,201,33554432,522.47,16.15.43.165:443,
0,bench/30gib-0.bin,148,33554432,524.54,16.15.43.165:443,
0,bench/30gib-0.bin,158,33554432,524.84,16.15.43.165:443,
0,bench/30gib-0.bin,350,33554432,525.59,16.15.43.165:443,
0,bench/30gib-0.bin,172,33554432,525.94,16.12.89.138:443,
0,bench/30gib-0.bin,15,33554432,531.36,16.15.43.165:443,
0,bench/30gib-0.bin,511,33554432,530.85,52.92.178.210:443,
0,bench/30gib-0.bin,379,33554432,533.45,16.15.43.165:443,
0,bench/30gib-0.bin,34,33554432,537.67,52.92.201.74:443,
0,bench/30gib-0.bin,284,33554432,537.72,52.92.201.210:443,
0,bench/30gib-0.bin,502,33554432,542.30,16.12.89.138:443,
0,bench/30gib-0.bin,52,33554432,546.89,52.92.201.74:443,
0,bench/30gib-0.bin,402,33554432,543.53,16.15.43.165:443,
0,bench/30gib-0.bin,222,33554432,544.00,52.92.178.210:443,
0,bench/30gib-0.bin,315,33554432,545.47,16.15.39.176:443,
0,bench/30gib-0.bin,480,33554432,548.03,52.92.201.74:443,
0,bench/30gib-0.bin,178,33554432,546.81,16.15.43.165:443,
0,bench/30gib-0.bin,55,33554432,550.74,16.15.43.165:443,
0,bench/30gib-0.bin,7,33554432,551.12,52.92.178.210:443,
0,bench/30gib-0.bin,355,33554432,550.67,16.15.39.176:443,
0,bench/30gib-0.bin,216,33554432,552.03,16.12.89.138:443,
0,bench/30gib-0.bin,14,33554432,558.61,52.92.201.74:443,
0,bench/30gib-0.bin,41,33554432,557.90,16.15.39.176:443,
0,bench/30gib-0.bin,99,33554432,559.39,16.15.39.176:443,
0,bench/30gib-0.bin,231,33554432,560.60,52.92.201.210:443,
0,bench/30gib-0.bin,89,33554432,567.48,52.92.201.74:443,
0,bench/30gib-0.bin,115,33554432,567.67,16.15.39.176:443,
0,bench/30gib-0.bin,404,33554432,567.89,16.15.39.176:443,
0,bench/30gib-0.bin,37,33554432,570.44,16.15.39.176:443,
0,bench/30gib-0.bin,45,33554432,566.80,16.15.43.165:443,
0,bench/30gib-0.bin,439,33554432,569.22,52.92.201.210:443,
0,bench/30gib-0.bin,378,33554432,568.12,16.15.43.165:443,
0,bench/30gib-0.bin,426,33554432,573.45,52.92.201.74:443,
0,bench/30gib-0.bin,18,33554432,575.92,16.15.43.165:443,
0,bench/30gib-0.bin,280,33554432,572.38,52.92.201.74:443,
0,bench/30gib-0.bin,339,33554432,574.49,16.15.43.165:443,
0,bench/30gib-0.bin,429,33554432,573.49,16.15.39.176:443,
0,bench/30gib-0.bin,137,33554432,574.56,16.15.43.165:443,
0,bench/30gib-0.bin,414,33554432,576.76,16.12.89.138:443,
0,bench/30gib-0.bin,251,33554432,576.24,16.15.39.176:443,
