iter,key,part_number,bytes,download_ms,vip,conn_id
0,bench/30gib-0.bin,1,33554432,829.89,16.15.34.118,w0c4
0,bench/30gib-0.bin,2,33554432,1482.83,16.15.34.118,w2c2
0,bench/30gib-0.bin,3,33554432,1450.12,3.5.84.234,w5c4
0,bench/30gib-0.bin,4,33554432,813.10,16.15.44.52,w7c3
0,bench/30gib-0.bin,5,33554432,817.21,52.92.241.210,w10c4
0,bench/30gib-0.bin,6,33554432,789.04,52.92.241.210,w12c2
0,bench/30gib-0.bin,7,33554432,919.02,52.92.241.210,w15c4
0,bench/30gib-0.bin,8,33554432,696.79,3.5.84.219,w17c3
0,bench/30gib-0.bin,9,33554432,1304.35,52.92.241.210,w20c4
0,bench/30gib-0.bin,10,33554432,1952.58,52.92.241.210,w22c2
0,bench/30gib-0.bin,11,33554432,549.11,52.92.241.210,w25c4
0,bench/30gib-0.bin,12,33554432,1334.15,16.15.38.237,w27c2
0,bench/30gib-0.bin,13,33554432,1123.23,3.5.84.219,w30c3
0,bench/30gib-0.bin,14,33554432,768.61,16.15.34.118,w32c2
0,bench/30gib-0.bin,15,33554432,920.04,3.5.84.219,w35c4
0,bench/30gib-0.bin,16,33554432,1055.12,3.5.84.234,w37c2
0,bench/30gib-0.bin,17,33554432,839.52,3.5.84.219,w40c4
0,bench/30gib-0.bin,18,33554432,858.78,52.92.241.210,w42c2
0,bench/30gib-0.bin,19,33554432,905.95,16.15.44.52,w45c4
0,bench/30gib-0.bin,20,33554432,899.34,3.5.84.234,w47c2
0,bench/30gib-0.bin,21,33554432,815.16,3.5.84.234,w50c4
0,bench/30gib-0.bin,22,33554432,986.34,52.92.241.210,w52c2
0,bench/30gib-0.bin,23,33554432,807.57,52.92.241.210,w55c4
0,bench/30gib-0.bin,24,33554432,1192.38,52.92.241.210,w57c2
0,bench/30gib-0.bin,25,33554432,660.12,16.15.34.118,w60c4
0,bench/30gib-0.bin,26,33554432,832.31,16.15.38.237,w62c2
0,bench/30gib-0.bin,27,33554432,801.01,52.92.241.210,w24c4
0,bench/30gib-0.bin,28,33554432,712.04,3.5.84.219,w18c3
0,bench/30gib-0.bin,29,33554432,506.07,52.92.170.138,w22c1
0,bench/30gib-0.bin,30,33554432,690.41,52.92.170.138,w36c1
0,bench/30gib-0.bin,31,33554432,704.75,52.92.170.138,w21c3
0,bench/30gib-0.bin,32,33554432,611.94,16.15.34.118,w18c2
0,bench/30gib-0.bin,33,33554432,742.18,16.15.34.118,w9c4
0,bench/30gib-0.bin,34,33554432,624.84,16.15.34.118,w40c1
0,bench/30gib-0.bin,35,33554432,923.39,16.15.44.52,w53c3
0,bench/30gib-0.bin,36,33554432,793.51,16.15.44.52,w21c4
0,bench/30gib-0.bin,37,33554432,829.41,16.15.34.118,w7c1
0,bench/30gib-0.bin,38,33554432,972.03,16.15.44.52,w1c1
0,bench/30gib-0.bin,39,33554432,706.44,52.92.170.138,w44c2
0,bench/30gib-0.bin,40,33554432,967.31,52.92.241.210,w27c3
0,bench/30gib-0.bin,41,33554432,596.22,52.92.241.210,w11c1
0,bench/30gib-0.bin,42,33554432,499.39,52.92.170.138,w62c4
0,bench/30gib-0.bin,43,33554432,759.52,3.5.84.219,w44c3
0,bench/30gib-0.bin,44,33554432,906.21,3.5.84.234,w29c4
0,bench/30gib-0.bin,45,33554432,853.89,16.15.38.237,w33c3
0,bench/30gib-0.bin,46,33554432,744.14,16.15.38.237,w45c1
0,bench/30gib-0.bin,47,33554432,761.85,52.92.241.210,w13c1
0,bench/30gib-0.bin,48,33554432,412.56,52.92.170.138,w51c1
0,bench/30gib-0.bin,49,33554432,721.60,52.92.170.138,w25c2
0,bench/30gib-0.bin,50,33554432,885.03,52.92.170.138,w12c1
0,bench/30gib-0.bin,51,33554432,908.16,3.5.84.234,w8c3
0,bench/30gib-0.bin,52,33554432,1029.79,16.15.38.237,w23c3
0,bench/30gib-0.bin,53,33554432,813.03,3.5.84.234,w47c1
0,bench/30gib-0.bin,54,33554432,435.26,3.5.84.234,w57c1
0,bench/30gib-0.bin,55,33554432,869.80,16.15.34.118,w3c2
0,bench/30gib-0.bin,56,33554432,537.64,16.15.38.237,w59c3
